account_id,account_type,age_days,customer_segment,risk_prior,location,business_profile,has_business_profile
ACC_000000,individual,385,retail,0.135,LOC_04,none,0
ACC_000001,individual,231,retail,0.149,LOC_14,none,0
ACC_000002,individual,1725,retail,0.34,LOC_07,none,0
ACC_000003,individual,2460,retail,0.018,LOC_15,none,0
ACC_000004,individual,3064,retail,0.111,LOC_11,none,0
ACC_000005,business,2637,small_business,0.214,LOC_02,online_merchant,1
ACC_000006,individual,1018,retail,0.102,LOC_18,none,0
ACC_000007,individual,3025,retail,0.053,LOC_01,none,0
ACC_000008,individual,2648,retail,0.322,LOC_04,none,0
ACC_000009,business,1411,corporate,0.29,LOC_10,wholesaler,1
ACC_000010,individual,3057,retail,0.095,LOC_15,none,0
ACC_000011,individual,726,retail,0.099,LOC_01,none,0
ACC_000012,individual,2733,retail,0.514,LOC_16,none,0
ACC_000013,individual,2622,student,0.123,LOC_06,none,0
ACC_000014,individual,3217,retail,0.152,LOC_09,none,0
ACC_000015,individual,1333,student,0.049,LOC_03,none,0
ACC_000016,individual,2955,retail,0.154,LOC_07,none,0
ACC_000017,individual,3459,student,0.127,LOC_16,none,0
ACC_000018,individual,157,retail,0.056,LOC_19,none,0
ACC_000019,individual,1174,retail,0.234,LOC_10,none,0
ACC_000020,individual,2258,retail,0.032,LOC_07,none,0
ACC_000021,business,1062,corporate,0.268,LOC_17,wholesaler,1
ACC_000022,individual,142,retail,0.221,LOC_07,none,0
ACC_000023,individual,1463,retail,0.291,LOC_13,none,0
ACC_000024,business,1751,small_business,0.209,LOC_16,online_merchant,1
ACC_000025,individual,529,retail,0.063,LOC_18,none,0
ACC_000026,individual,2209,retail,0.197,LOC_09,none,0
ACC_000027,business,3263,small_business,0.152,LOC_10,online_merchant,1
ACC_000028,individual,351,retail,0.184,LOC_10,none,0
ACC_000029,business,1805,small_business,0.185,LOC_01,wholesaler,1
ACC_000030,individual,1125,retail,0.079,LOC_17,none,0
ACC_000031,individual,1115,retail,0.287,LOC_04,none,0
ACC_000032,business,856,corporate,0.258,LOC_07,wholesaler,1
ACC_000033,individual,1270,retail,0.315,LOC_11,none,0
ACC_000034,individual,2311,retail,0.04,LOC_08,none,0
ACC_000035,business,3020,small_business,0.128,LOC_15,retail_store,1
ACC_000036,business,2921,small_business,0.114,LOC_05,professional_service,1
ACC_000037,business,273,small_business,0.468,LOC_09,professional_service,1
ACC_000038,individual,1170,retail,0.086,LOC_16,none,0
ACC_000039,individual,1445,student,0.371,LOC_18,none,0
ACC_000040,individual,1062,retail,0.012,LOC_08,none,0
ACC_000041,individual,2544,student,0.043,LOC_15,none,0
ACC_000042,individual,2437,retail,0.372,LOC_06,none,0
ACC_000043,individual,630,retail,0.089,LOC_19,none,0
ACC_000044,individual,2930,retail,0.081,LOC_16,none,0
ACC_000045,individual,119,retail,0.031,LOC_08,none,0
ACC_000046,individual,1305,retail,0.229,LOC_04,none,0
ACC_000047,individual,137,retail,0.073,LOC_17,none,0
ACC_000048,individual,1901,retail,0.226,LOC_10,none,0
ACC_000049,business,2870,small_business,0.158,LOC_14,professional_service,1
ACC_000050,individual,1111,retail,0.278,LOC_02,none,0
ACC_000051,business,367,small_business,0.009,LOC_11,online_merchant,1
ACC_000052,individual,1745,retail,0.047,LOC_15,none,0
ACC_000053,individual,156,retail,0.033,LOC_14,none,0
ACC_000054,individual,1871,student,0.169,LOC_14,none,0
ACC_000055,individual,2156,retail,0.219,LOC_06,none,0
ACC_000056,individual,2985,student,0.168,LOC_19,none,0
ACC_000057,business,1314,small_business,0.113,LOC_10,online_merchant,1
ACC_000058,individual,453,retail,0.265,LOC_05,none,0
ACC_000059,individual,2516,retail,0.03,LOC_09,none,0
ACC_000060,business,2955,corporate,0.1,LOC_17,online_merchant,1
ACC_000061,individual,1249,student,0.262,LOC_19,none,0
ACC_000062,individual,2346,retail,0.312,LOC_07,none,0
ACC_000063,individual,782,student,0.291,LOC_14,none,0
ACC_000064,individual,952,retail,0.168,LOC_09,none,0
ACC_000065,business,3580,corporate,0.098,LOC_10,professional_service,1
ACC_000066,individual,2695,retail,0.178,LOC_07,none,0
ACC_000067,individual,2358,retail,0.076,LOC_08,none,0
ACC_000068,individual,1597,retail,0.286,LOC_12,none,0
ACC_000069,business,2632,small_business,0.146,LOC_08,retail_store,1
ACC_000070,business,3431,small_business,0.067,LOC_13,wholesaler,1
ACC_000071,individual,1931,retail,0.053,LOC_13,none,0
ACC_000072,business,842,corporate,0.332,LOC_01,online_merchant,1
ACC_000073,individual,3218,retail,0.115,LOC_05,none,0
ACC_000074,individual,734,retail,0.179,LOC_02,none,0
ACC_000075,individual,1813,retail,0.048,LOC_18,none,0
ACC_000076,individual,2366,retail,0.376,LOC_12,none,0
ACC_000077,individual,2066,retail,0.112,LOC_08,none,0
ACC_000078,individual,2444,retail,0.221,LOC_13,none,0
ACC_000079,business,570,small_business,0.054,LOC_16,professional_service,1
ACC_000080,individual,913,student,0.101,LOC_17,none,0
ACC_000081,business,2215,small_business,0.032,LOC_02,retail_store,1
ACC_000082,business,2181,small_business,0.187,LOC_15,online_merchant,1
ACC_000083,individual,1737,retail,0.042,LOC_16,none,0
ACC_000084,individual,835,student,0.053,LOC_11,none,0
ACC_000085,business,2381,corporate,0.159,LOC_17,professional_service,1
ACC_000086,individual,741,retail,0.22,LOC_07,none,0
ACC_000087,individual,2720,retail,0.11,LOC_12,none,0
ACC_000088,individual,3622,retail,0.08,LOC_04,none,0
ACC_000089,individual,1479,retail,0.116,LOC_16,none,0
ACC_000090,individual,3033,retail,0.255,LOC_06,none,0
ACC_000091,individual,3517,retail,0.192,LOC_11,none,0
ACC_000092,individual,3338,retail,0.179,LOC_11,none,0
ACC_000093,business,385,corporate,0.541,LOC_02,professional_service,1
ACC_000094,individual,335,student,0.043,LOC_05,none,0
ACC_000095,individual,1090,student,0.138,LOC_15,none,0
ACC_000096,individual,3462,retail,0.244,LOC_12,none,0
ACC_000097,individual,1746,retail,0.183,LOC_01,none,0
ACC_000098,individual,2210,retail,0.165,LOC_03,none,0
ACC_000099,business,2627,small_business,0.131,LOC_12,professional_service,1
ACC_000100,business,2798,corporate,0.255,LOC_06,online_merchant,1
ACC_000101,individual,2355,student,0.309,LOC_17,none,0
ACC_000102,individual,1823,retail,0.145,LOC_16,none,0
ACC_000103,individual,1629,retail,0.147,LOC_13,none,0
ACC_000104,business,267,small_business,0.08,LOC_09,retail_store,1
ACC_000105,individual,71,student,0.063,LOC_18,none,0
ACC_000106,individual,843,retail,0.094,LOC_03,none,0
ACC_000107,individual,1711,retail,0.453,LOC_09,none,0
ACC_000108,individual,3294,retail,0.063,LOC_01,none,0
ACC_000109,individual,226,retail,0.137,LOC_19,none,0
ACC_000110,individual,1619,retail,0.193,LOC_04,none,0
ACC_000111,business,1663,small_business,0.14,LOC_19,retail_store,1
ACC_000112,individual,1017,retail,0.129,LOC_13,none,0
ACC_000113,individual,728,retail,0.181,LOC_05,none,0
ACC_000114,individual,3292,retail,0.094,LOC_11,none,0
ACC_000115,individual,235,student,0.116,LOC_02,none,0
ACC_000116,individual,260,student,0.123,LOC_06,none,0
ACC_000117,individual,695,retail,0.011,LOC_10,none,0
ACC_000118,individual,1230,retail,0.065,LOC_03,none,0
ACC_000119,individual,3521,retail,0.3,LOC_02,none,0
ACC_000120,individual,712,retail,0.059,LOC_07,none,0
ACC_000121,individual,175,student,0.258,LOC_15,none,0
ACC_000122,individual,961,retail,0.041,LOC_03,none,0
ACC_000123,individual,3157,retail,0.231,LOC_10,none,0
ACC_000124,individual,2563,retail,0.129,LOC_11,none,0
ACC_000125,business,1151,small_business,0.053,LOC_18,professional_service,1
ACC_000126,individual,875,retail,0.055,LOC_02,none,0
ACC_000127,individual,3560,student,0.146,LOC_12,none,0
ACC_000128,individual,301,retail,0.18,LOC_07,none,0
ACC_000129,individual,2883,retail,0.056,LOC_16,none,0
ACC_000130,individual,891,retail,0.133,LOC_03,none,0
ACC_000131,business,1061,corporate,0.192,LOC_14,retail_store,1
ACC_000132,individual,3357,retail,0.03,LOC_12,none,0
ACC_000133,individual,3213,retail,0.013,LOC_13,none,0
ACC_000134,individual,165,student,0.019,LOC_01,none,0
ACC_000135,business,1108,small_business,0.158,LOC_02,retail_store,1
ACC_000136,business,3474,small_business,0.185,LOC_14,wholesaler,1
ACC_000137,business,2039,small_business,0.208,LOC_16,online_merchant,1
ACC_000138,business,151,small_business,0.199,LOC_01,wholesaler,1
ACC_000139,individual,2305,retail,0.04,LOC_14,none,0
ACC_000140,individual,2126,retail,0.249,LOC_17,none,0
ACC_000141,individual,1764,retail,0.078,LOC_02,none,0
ACC_000142,individual,2631,retail,0.015,LOC_03,none,0
ACC_000143,business,1951,corporate,0.211,LOC_11,professional_service,1
ACC_000144,individual,380,retail,0.139,LOC_02,none,0
ACC_000145,individual,2022,student,0.174,LOC_12,none,0
ACC_000146,individual,274,retail,0.119,LOC_18,none,0
ACC_000147,individual,1238,retail,0.13,LOC_10,none,0
ACC_000148,individual,1384,student,0.072,LOC_03,none,0
ACC_000149,individual,3252,retail,0.007,LOC_01,none,0
ACC_000150,individual,2075,retail,0.405,LOC_11,none,0
ACC_000151,individual,1025,retail,0.033,LOC_12,none,0
ACC_000152,individual,1471,retail,0.103,LOC_03,none,0
ACC_000153,individual,1346,retail,0.075,LOC_10,none,0
ACC_000154,business,1068,corporate,0.254,LOC_18,retail_store,1
ACC_000155,individual,3449,retail,0.082,LOC_13,none,0
ACC_000156,business,3154,small_business,0.245,LOC_18,retail_store,1
ACC_000157,individual,1939,retail,0.161,LOC_16,none,0
ACC_000158,individual,1365,retail,0.146,LOC_05,none,0
ACC_000159,individual,1979,retail,0.308,LOC_02,none,0
ACC_000160,individual,264,retail,0.241,LOC_17,none,0
ACC_000161,individual,1307,retail,0.046,LOC_11,none,0
ACC_000162,individual,679,retail,0.376,LOC_11,none,0
ACC_000163,individual,2182,retail,0.135,LOC_12,none,0
ACC_000164,individual,568,student,0.179,LOC_07,none,0
ACC_000165,business,2054,small_business,0.108,LOC_06,professional_service,1
ACC_000166,individual,3423,student,0.092,LOC_07,none,0
ACC_000167,individual,54,retail,0.217,LOC_10,none,0
ACC_000168,business,2983,corporate,0.037,LOC_09,wholesaler,1
ACC_000169,individual,2950,retail,0.065,LOC_16,none,0
ACC_000170,business,3064,small_business,0.02,LOC_12,retail_store,1
ACC_000171,individual,1834,retail,0.253,LOC_11,none,0
ACC_000172,business,2737,small_business,0.139,LOC_15,professional_service,1
ACC_000173,individual,2242,retail,0.129,LOC_13,none,0
ACC_000174,business,1036,small_business,0.533,LOC_09,wholesaler,1
ACC_000175,business,3347,small_business,0.187,LOC_12,professional_service,1
ACC_000176,individual,3077,student,0.154,LOC_03,none,0
ACC_000177,individual,1399,retail,0.254,LOC_16,none,0
ACC_000178,individual,2302,retail,0.277,LOC_14,none,0
ACC_000179,individual,1265,retail,0.336,LOC_17,none,0
ACC_000180,individual,1556,retail,0.592,LOC_10,none,0
ACC_000181,individual,1049,retail,0.085,LOC_07,none,0
ACC_000182,business,2284,corporate,0.109,LOC_17,online_merchant,1
ACC_000183,business,1192,corporate,0.195,LOC_16,retail_store,1
ACC_000184,business,538,small_business,0.04,LOC_03,professional_service,1
ACC_000185,individual,2998,retail,0.271,LOC_12,none,0
ACC_000186,business,1473,small_business,0.022,LOC_18,wholesaler,1
ACC_000187,individual,1642,retail,0.077,LOC_16,none,0
ACC_000188,business,3177,corporate,0.131,LOC_06,online_merchant,1
ACC_000189,individual,500,retail,0.207,LOC_05,none,0
ACC_000190,individual,922,retail,0.456,LOC_01,none,0
ACC_000191,individual,3252,retail,0.101,LOC_06,none,0
ACC_000192,individual,3520,retail,0.13,LOC_07,none,0
ACC_000193,individual,2059,student,0.217,LOC_15,none,0
ACC_000194,individual,3523,retail,0.282,LOC_02,none,0
ACC_000195,individual,814,student,0.094,LOC_13,none,0
ACC_000196,individual,668,retail,0.152,LOC_09,none,0
ACC_000197,individual,3140,retail,0.028,LOC_17,none,0
ACC_000198,individual,330,retail,0.236,LOC_10,none,0
ACC_000199,business,1448,small_business,0.203,LOC_05,professional_service,1
ACC_000200,individual,3226,retail,0.062,LOC_07,none,0
ACC_000201,individual,1381,student,0.397,LOC_07,none,0
ACC_000202,individual,3616,retail,0.01,LOC_09,none,0
ACC_000203,business,2256,corporate,0.24,LOC_15,online_merchant,1
ACC_000204,business,3616,small_business,0.075,LOC_09,online_merchant,1
ACC_000205,individual,347,student,0.287,LOC_05,none,0
ACC_000206,individual,902,retail,0.053,LOC_13,none,0
ACC_000207,business,2760,corporate,0.043,LOC_16,online_merchant,1
ACC_000208,individual,3413,retail,0.183,LOC_14,none,0
ACC_000209,individual,2997,student,0.017,LOC_11,none,0
ACC_000210,individual,3419,student,0.028,LOC_05,none,0
ACC_000211,business,3501,small_business,0.198,LOC_16,wholesaler,1
ACC_000212,individual,82,retail,0.053,LOC_02,none,0
ACC_000213,individual,3135,retail,0.114,LOC_02,none,0
ACC_000214,individual,1771,retail,0.16,LOC_05,none,0
ACC_000215,individual,1492,retail,0.058,LOC_02,none,0
ACC_000216,individual,834,retail,0.205,LOC_13,none,0
ACC_000217,individual,1728,student,0.413,LOC_16,none,0
ACC_000218,business,337,corporate,0.35,LOC_14,online_merchant,1
ACC_000219,business,1940,corporate,0.072,LOC_03,professional_service,1
ACC_000220,individual,3021,retail,0.219,LOC_03,none,0
ACC_000221,individual,85,retail,0.185,LOC_06,none,0
ACC_000222,individual,212,retail,0.133,LOC_03,none,0
ACC_000223,individual,3072,retail,0.262,LOC_03,none,0
ACC_000224,individual,315,retail,0.239,LOC_06,none,0
ACC_000225,individual,2048,retail,0.369,LOC_01,none,0
ACC_000226,business,2290,corporate,0.229,LOC_06,online_merchant,1
