device_id,device_type,age_days,risk_indicator
DEV_000000,ios,785,0.139
DEV_000001,android,1546,0.152
DEV_000002,ios,1513,0.074
DEV_000003,web,816,0.165
DEV_000004,android,174,0.013
DEV_000005,web,1002,0.152
DEV_000006,android,807,0.156
DEV_000007,android,1608,0.009
DEV_000008,android,1661,0.194
DEV_000009,android,1343,0.094
DEV_000010,android,1238,0.045
DEV_000011,ios,861,0.167
DEV_000012,ios,1384,0.161
DEV_000013,android,1499,0.136
DEV_000014,android,1450,0.157
DEV_000015,ios,23,0.156
DEV_000016,android,76,0.023
DEV_000017,ios,260,0.113
DEV_000018,ios,1022,0.112
DEV_000019,android,1000,0.775
DEV_000020,android,1786,0.047
DEV_000021,android,1537,0.059
DEV_000022,ios,913,0.133
DEV_000023,android,1413,0.033
DEV_000024,android,1391,0.092
DEV_000025,android,1303,0.03
DEV_000026,ios,307,0.06
DEV_000027,ios,692,0.018
DEV_000028,android,665,0.14
DEV_000029,android,1636,0.156
DEV_000030,ios,1329,0.019
DEV_000031,web,497,0.04
DEV_000032,android,988,0.171
DEV_000033,ios,326,0.086
DEV_000034,ios,179,0.017
DEV_000035,android,1173,0.798
DEV_000036,android,1223,0.118
DEV_000037,android,195,0.116
DEV_000038,android,537,0.192
DEV_000039,android,50,0.017
DEV_000040,android,799,0.114
DEV_000041,android,1688,0.066
DEV_000042,android,519,0.165
DEV_000043,web,48,0.111
DEV_000044,android,222,0.132
DEV_000045,ios,513,0.022
DEV_000046,web,433,0.111
DEV_000047,android,76,0.162
DEV_000048,android,1146,0.103
DEV_000049,android,530,0.033
DEV_000050,android,1745,0.178
DEV_000051,ios,1786,0.179
DEV_000052,android,49,0.132
DEV_000053,android,1391,0.149
DEV_000054,android,1706,0.025
DEV_000055,web,441,0.036
DEV_000056,ios,90,0.062
DEV_000057,ios,361,0.1
DEV_000058,android,321,0.653
DEV_000059,ios,421,0.101
DEV_000060,ios,756,0.161
DEV_000061,ios,367,0.026
DEV_000062,android,154,0.06
DEV_000063,android,721,0.191
DEV_000064,android,903,0.111
DEV_000065,ios,54,0.028
DEV_000066,android,307,0.187
DEV_000067,web,1076,0.157
DEV_000068,android,525,0.159
DEV_000069,android,1494,0.121
DEV_000070,web,528,0.075
DEV_000071,android,748,0.173
DEV_000072,android,490,0.149
DEV_000073,web,433,0.013
DEV_000074,ios,354,0.062
