ip_id,region,network_type,risk_indicator
IP_000000,REG_02,residential,0.047
IP_000001,REG_11,residential,0.145
IP_000002,REG_02,residential,0.125
IP_000003,REG_08,vpn,0.879
IP_000004,REG_07,vpn,0.858
IP_000005,REG_02,mobile,0.135
IP_000006,REG_05,vpn,0.717
IP_000007,REG_08,mobile,0.054
IP_000008,REG_08,residential,0.117
IP_000009,REG_01,residential,0.092
IP_000010,REG_10,residential,0.146
IP_000011,REG_03,residential,0.14
IP_000012,REG_01,vpn,0.522
IP_000013,REG_03,residential,0.029
IP_000014,REG_03,mobile,0.094
IP_000015,REG_06,residential,0.093
IP_000016,REG_02,mobile,0.014
IP_000017,REG_04,residential,0.142
IP_000018,REG_02,residential,0.027
IP_000019,REG_06,residential,0.101
IP_000020,REG_09,residential,0.025
IP_000021,REG_08,vpn,0.585
IP_000022,REG_06,residential,0.076
IP_000023,REG_06,residential,0.073
IP_000024,REG_11,mobile,0.089
IP_000025,REG_01,residential,0.008
IP_000026,REG_01,hosting,0.904
IP_000027,REG_06,mobile,0.123
IP_000028,REG_10,mobile,0.096
IP_000029,REG_05,mobile,0.052
IP_000030,REG_11,mobile,0.056
IP_000031,REG_11,residential,0.076
IP_000032,REG_06,mobile,0.112
IP_000033,REG_03,residential,0.094
IP_000034,REG_09,mobile,0.017
IP_000035,REG_03,vpn,0.569
IP_000036,REG_04,residential,0.132
IP_000037,REG_06,mobile,0.026
IP_000038,REG_09,residential,0.041
IP_000039,REG_02,residential,0.083
IP_000040,REG_05,mobile,0.117
IP_000041,REG_06,mobile,0.067
IP_000042,REG_04,mobile,0.026
IP_000043,REG_04,mobile,0.036
IP_000044,REG_03,mobile,0.02
IP_000045,REG_04,residential,0.055
IP_000046,REG_01,residential,0.075
IP_000047,REG_11,mobile,0.15
IP_000048,REG_10,mobile,0.119
IP_000049,REG_10,mobile,0.002
IP_000050,REG_06,mobile,0.085
IP_000051,REG_05,mobile,0.016
IP_000052,REG_01,residential,0.149
IP_000053,REG_10,mobile,0.047
IP_000054,REG_10,residential,0.141
IP_000055,REG_07,residential,0.044
IP_000056,REG_09,residential,0.142
IP_000057,REG_01,residential,0.102
IP_000058,REG_03,residential,0.04
IP_000059,REG_09,vpn,0.563
IP_000060,REG_05,mobile,0.041
IP_000061,REG_03,vpn,0.619
IP_000062,REG_08,residential,0.116
IP_000063,REG_03,mobile,0.125
IP_000064,REG_07,residential,0.947
IP_000065,REG_07,residential,0.078
IP_000066,REG_02,mobile,0.112
IP_000067,REG_05,residential,0.029
IP_000068,REG_09,residential,0.096
IP_000069,REG_10,mobile,0.062
IP_000070,REG_01,residential,0.109
IP_000071,REG_03,mobile,0.07
IP_000072,REG_05,residential,0.043
IP_000073,REG_06,mobile,0.12
IP_000074,REG_02,residential,0.02
IP_000075,REG_03,vpn,0.681
IP_000076,REG_07,residential,0.005
IP_000077,REG_05,residential,0.117
IP_000078,REG_07,residential,0.127
IP_000079,REG_10,residential,0.13
IP_000080,REG_06,residential,0.019
IP_000081,REG_09,mobile,0.109
IP_000082,REG_03,residential,0.112
IP_000083,REG_06,mobile,0.043
IP_000084,REG_04,residential,0.076
IP_000085,REG_06,mobile,0.118
IP_000086,REG_09,vpn,0.831
IP_000087,REG_03,mobile,0.028
IP_000088,REG_01,mobile,0.138
IP_000089,REG_08,hosting,0.658
IP_000090,REG_01,mobile,0.014
IP_000091,REG_11,residential,0.043
IP_000092,REG_07,mobile,0.133
IP_000093,REG_11,residential,0.051
IP_000094,REG_11,mobile,0.004
IP_000095,REG_10,residential,0.085
IP_000096,REG_05,mobile,0.13
IP_000097,REG_04,residential,0.142
IP_000098,REG_06,residential,0.13
IP_000099,REG_03,mobile,0.032
IP_000100,REG_09,mobile,0.035
IP_000101,REG_03,residential,0.107
IP_000102,REG_11,mobile,0.071
IP_000103,REG_06,residential,0.03
IP_000104,REG_01,mobile,0.087
IP_000105,REG_04,residential,0.135
IP_000106,REG_10,vpn,0.576
IP_000107,REG_04,residential,0.018
IP_000108,REG_01,residential,0.02
IP_000109,REG_01,mobile,0.116
IP_000110,REG_04,mobile,0.078
IP_000111,REG_08,mobile,0.052
IP_000112,REG_05,mobile,0.039
IP_000113,REG_09,residential,0.126
IP_000114,REG_08,residential,0.012
IP_000115,REG_10,mobile,0.032
IP_000116,REG_02,mobile,0.085
IP_000117,REG_04,residential,0.093
IP_000118,REG_11,mobile,0.104
IP_000119,REG_02,mobile,0.011
IP_000120,REG_05,residential,0.033
IP_000121,REG_01,residential,0.036
IP_000122,REG_01,mobile,0.071
IP_000123,REG_09,mobile,0.139
IP_000124,REG_08,mobile,0.111
IP_000125,REG_07,residential,0.072
IP_000126,REG_04,vpn,0.711
IP_000127,REG_06,vpn,0.703
IP_000128,REG_02,residential,0.0
IP_000129,REG_02,residential,0.11
IP_000130,REG_11,residential,0.141
IP_000131,REG_02,residential,0.049
IP_000132,REG_04,mobile,0.035
IP_000133,REG_09,vpn,0.725
IP_000134,REG_04,mobile,0.034
IP_000135,REG_11,residential,0.039
IP_000136,REG_01,mobile,0.079
IP_000137,REG_11,mobile,0.14
IP_000138,REG_08,residential,0.045
IP_000139,REG_10,residential,0.148
IP_000140,REG_07,vpn,0.621
IP_000141,REG_09,residential,0.084
IP_000142,REG_05,mobile,0.112
IP_000143,REG_05,residential,0.019
IP_000144,REG_11,residential,0.034
IP_000145,REG_05,mobile,0.003
IP_000146,REG_03,residential,0.041
IP_000147,REG_08,residential,0.087
IP_000148,REG_02,residential,0.091
IP_000149,REG_02,residential,0.011
IP_000150,REG_02,mobile,0.027
IP_000151,REG_01,vpn,0.747
IP_000152,REG_09,residential,0.109
IP_000153,REG_08,mobile,0.074
IP_000154,REG_09,residential,0.034
IP_000155,REG_04,residential,0.107
IP_000156,REG_06,residential,0.092
IP_000157,REG_08,mobile,0.107
IP_000158,REG_07,residential,0.037
IP_000159,REG_07,residential,0.068
IP_000160,REG_02,residential,0.139
IP_000161,REG_10,residential,0.003
IP_000162,REG_06,vpn,0.505
IP_000163,REG_11,mobile,0.136
IP_000164,REG_03,vpn,0.535
IP_000165,REG_07,mobile,0.092
IP_000166,REG_06,residential,0.111
IP_000167,REG_02,residential,0.127
IP_000168,REG_06,mobile,0.145
IP_000169,REG_04,mobile,0.026
IP_000170,REG_07,residential,0.11
IP_000171,REG_11,residential,0.057
IP_000172,REG_07,mobile,0.139
IP_000173,REG_07,residential,0.148
IP_000174,REG_08,residential,0.051
IP_000175,REG_08,residential,0.113
IP_000176,REG_01,residential,0.078
IP_000177,REG_10,mobile,0.143
IP_000178,REG_04,mobile,0.073
IP_000179,REG_10,residential,0.103
IP_000180,REG_06,residential,0.066
IP_000181,REG_02,residential,0.042
IP_000182,REG_04,residential,0.098
IP_000183,REG_05,residential,0.612
IP_000184,REG_09,mobile,0.057
IP_000185,REG_09,mobile,0.003
IP_000186,REG_10,mobile,0.015
IP_000187,REG_05,mobile,0.003
IP_000188,REG_10,mobile,0.118
IP_000189,REG_04,mobile,0.147
IP_000190,REG_11,residential,0.022
IP_000191,REG_07,residential,0.002
IP_000192,REG_06,mobile,0.072
IP_000193,REG_04,vpn,0.714
IP_000194,REG_08,residential,0.04
IP_000195,REG_11,mobile,0.064
IP_000196,REG_09,vpn,0.937
IP_000197,REG_06,residential,0.129
IP_000198,REG_05,residential,0.058
IP_000199,REG_10,mobile,0.028
IP_000200,REG_05,residential,0.59
IP_000201,REG_05,mobile,0.101
IP_000202,REG_05,residential,0.108
IP_000203,REG_04,mobile,0.128
IP_000204,REG_01,mobile,0.051
IP_000205,REG_10,residential,0.019
IP_000206,REG_04,residential,0.121
IP_000207,REG_02,vpn,0.773
IP_000208,REG_08,mobile,0.051
IP_000209,REG_11,residential,0.08
IP_000210,REG_04,residential,0.139
IP_000211,REG_01,residential,0.549
IP_000212,REG_10,residential,0.042
IP_000213,REG_01,residential,0.058
IP_000214,REG_04,residential,0.004
IP_000215,REG_01,residential,0.149
