merchant_id,merchant_account_id,merchant_type,business_age,transaction_volume,average_transaction,expected_frequency,business_category
MERCH_00000,ACC_000188,dining,3177,1283501.42,3409.41,142.7,MCC_5676
MERCH_00001,ACC_000336,dining,917,520292.99,3254.62,146.2,MCC_5384
MERCH_00002,ACC_000421,fashion,496,874556.74,1396.33,103.0,MCC_5950
MERCH_00003,ACC_000400,services,814,668758.21,3580.99,121.1,MCC_5613
MERCH_00004,ACC_000024,dining,1751,876267.84,2887.86,183.9,MCC_5009
MERCH_00005,ACC_000035,grocery,3020,882978.11,2189.99,111.0,MCC_5413
MERCH_00006,ACC_000226,fashion,2290,1351061.32,4105.81,114.1,MCC_5067
MERCH_00007,ACC_000085,fashion,2381,133456.25,2730.98,91.5,MCC_5556
MERCH_00008,ACC_000494,electronics,888,118331.13,3227.91,64.5,MCC_5709
MERCH_00009,ACC_000350,services,1195,959332.66,1098.1,93.7,MCC_5651
MERCH_00010,ACC_000401,grocery,2152,928107.88,402.45,94.2,MCC_5835
MERCH_00011,ACC_000111,electronics,1663,980386.23,2804.08,12.0,MCC_5311
MERCH_00012,ACC_000429,services,3054,1115532.0,3482.41,21.2,MCC_5607
MERCH_00013,ACC_000234,dining,1923,660846.66,891.0,89.9,MCC_5303
MERCH_00014,ACC_000051,grocery,367,214165.06,3042.26,59.9,MCC_5071
MERCH_00015,ACC_000165,grocery,2054,119757.37,2575.89,84.4,MCC_5711
MERCH_00016,ACC_000204,grocery,3616,1186729.79,1752.46,128.3,MCC_5796
MERCH_00017,ACC_000425,wholesale,1056,891589.91,457.56,92.6,MCC_5227
MERCH_00018,ACC_000060,electronics,2955,1330902.71,2057.56,122.2,MCC_5182
MERCH_00019,ACC_000009,electronics,1411,468674.5,992.85,183.3,MCC_5360
MERCH_00020,ACC_000296,wholesale,1865,243228.66,3385.59,89.5,MCC_5799
MERCH_00021,ACC_000269,dining,1620,816132.61,672.2,49.9,MCC_5015
MERCH_00022,ACC_000266,services,1150,422855.95,4024.31,134.9,MCC_5696
MERCH_00023,ACC_000428,wholesale,1527,942024.83,3922.94,78.7,MCC_5832
MERCH_00024,ACC_000093,dining,385,798041.08,4076.68,41.3,MCC_5549
MERCH_00025,ACC_000394,services,910,1143925.23,1728.22,174.8,MCC_5578
MERCH_00026,ACC_000005,dining,2637,301297.7,2669.81,89.9,MCC_5373
MERCH_00027,ACC_000203,wholesale,2256,151265.96,959.22,156.2,MCC_5015
MERCH_00028,ACC_000135,grocery,1108,841179.27,564.49,111.5,MCC_5892
MERCH_00029,ACC_000218,dining,337,1136742.56,1380.83,33.5,MCC_5855
MERCH_00030,ACC_000070,dining,3431,1288428.68,336.35,166.5,MCC_5900
MERCH_00031,ACC_000250,grocery,346,141761.27,3437.84,111.9,MCC_5097
MERCH_00032,ACC_000480,grocery,1313,1360600.18,3792.94,20.9,MCC_5414
MERCH_00033,ACC_000168,dining,2983,1169787.73,2522.16,196.8,MCC_5616
MERCH_00034,ACC_000292,services,983,201007.37,972.51,167.0,MCC_5686
MERCH_00035,ACC_000184,electronics,538,192591.94,541.45,155.0,MCC_5996
MERCH_00036,ACC_000483,electronics,510,149412.17,4010.79,162.1,MCC_5064
MERCH_00037,ACC_000377,wholesale,2361,993244.43,1519.16,182.2,MCC_5881
MERCH_00038,ACC_000306,electronics,1199,449490.72,4000.16,139.4,MCC_5298
MERCH_00039,ACC_000131,wholesale,1061,276056.87,4290.11,126.4,MCC_5895
MERCH_00040,ACC_000348,services,154,1375387.84,1775.31,146.7,MCC_5668
MERCH_00041,ACC_000186,grocery,1473,1192241.44,4046.55,139.2,MCC_5640
MERCH_00042,ACC_000029,dining,1805,315553.5,4297.5,194.0,MCC_5067
MERCH_00043,ACC_000440,grocery,1788,103359.13,1782.77,154.3,MCC_5967
MERCH_00044,ACC_000099,electronics,2627,174567.91,2781.75,37.1,MCC_5752
MERCH_00045,ACC_000032,wholesale,856,397544.27,333.91,25.2,MCC_5493
MERCH_00046,ACC_000154,electronics,1068,1129736.65,4200.03,99.3,MCC_5910
MERCH_00047,ACC_000219,wholesale,1940,569690.57,2811.75,76.8,MCC_5413
MERCH_00048,ACC_000211,wholesale,3501,1211910.12,3953.72,56.1,MCC_5746
MERCH_00049,ACC_000143,services,1951,373994.69,265.25,144.5,MCC_5527
